縣市別,清理範圍(處),清理次數(次),參與人數(人次),海洋廢棄物來源(噸)_海漂,海洋廢棄物來源(噸)_海底,海洋廢棄物來源(噸)_淨灘,清理方式_雇工(人次),清理方式_機械    (輛次),清理數量分類(噸)_計,清理數量分類(噸)_寶特瓶,清理數量分類(噸)_鐵罐,清理數量分類(噸)_鋁罐,清理數量分類(噸)_玻璃瓶,清理數量分類(噸)_廢紙,清理數量分類(噸)_竹木,清理數量分類(噸)_保麗龍,清理數量分類(噸)_廢漁具漁網,清理數量分類(噸)_其他,清理後處理方式(噸)_焚化,清理後處理方式(噸)_回收再利用,清理後處理方式(噸)_其他
總　　　　計,224,"1,118","10,110",88.1,0,"1,796.71","4,185","1,149","2,341.75",7.493,1.636,1.199,2.502,2.285,"1,729.24",22.453,18.799,556.134,"2,143.63",96.834,101.281
新北市,7,37,916,0,0,0,916,31,106.927,0.148,0.165,0.118,0.373,0.032,2.84,0.103,3.64,99.508,96.191,10.736,0
臺北市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
桃園市,30,43,"1,430",0.294,0,33.939,154,25,34.233,1.869,0.08,0.088,0.107,0.045,0.324,0.137,0.147,31.436,0.324,2.189,31.72
宜蘭縣,3,6,49,0.03,0,0,6,21,1.168,0.03,0.06,0.03,0,0.38,0,0,0,0.668,0.64,0.528,0
新竹縣,9,9,57,0,0,0.82,0,0,0.82,0.025,0.018,0.009,0.047,0,0,0.021,0.031,0.669,0.721,0.099,0
基隆市,2,37,360,0.12,0,0,310,64,77.63,0.05,0.1,0.07,0.02,0.24,0.08,0.01,0.02,77.04,73.2,4.43,0
新竹市,4,4,4,1.044,0,0,2,2,1.044,0.001,0,0.003,0,0,0,0,1.03,0.01,0,0,1.044
臺中市,15,46,"1,593",0.62,0,5.6,310,156,18.06,0.52,0.03,0.04,0.11,0.03,3,0,1.4,12.93,11.25,1.81,5
苗栗縣,8,4,708,0,0,12.664,0,0,12.664,0.194,0.01,0.009,0.319,0.021,0.398,0.012,0.307,11.394,11.394,0.553,0.717
彰化縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南投縣,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
雲林縣,1,22,52,0.74,0,0,52,4,0.74,0.27,0,0,0,0,0,0,0,0.47,0.47,0.27,0
臺南市,16,187,520,0.225,0,"1,681.71",497,627,"1,722.33",0.122,0.093,0.087,0.53,0.078,"1,681.46",15.85,0.121,23.993,"1,705.41",16.925,0
高雄市,26,123,401,0.26,0,0.113,306,88,208.668,0.739,0.46,0.23,0.12,0.95,0,0.001,0.002,206.166,187.022,21.646,0
嘉義縣,2,2,80,0,0,0.42,0,2,0.42,0.047,0.031,0.012,0,0,0.187,0.04,0.003,0.1,0.33,0.09,0
屏東縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
澎湖縣,36,400,"2,446",82.894,0,0.155,"1,101",1,83.849,2.125,0.07,0.07,0.045,0.15,4.965,0.092,8.155,68.177,48.282,35.247,0.32
嘉義市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
臺東縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
花蓮縣,6,61,332,0.67,0,0,48,7,9.5,0,0,0,0,0,0,0,0,9.5,8.397,1.103,0
金門縣,55,127,922,1.203,0,37.775,483,110,40.178,0.873,0.429,0.383,0.781,0.319,25.19,1.657,1.783,8.763,0,0.498,39.68
連江縣,4,10,240,0,0,23.51,0,11,23.51,0.48,0.09,0.05,0.05,0.04,10.8,4.53,2.16,5.31,0,0.71,22.8
