縣市別,清理範圍(處),清理次數(次),參與人數(人次),海洋廢棄物來源(噸)_海漂,海洋廢棄物來源(噸)_海底,海洋廢棄物來源(噸)_淨灘,清理方式_雇工(人次),清理方式_機械    (輛次),清理數量分類(噸)_計,清理數量分類(噸)_寶特瓶,清理數量分類(噸)_鐵罐,清理數量分類(噸)_鋁罐,清理數量分類(噸)_玻璃瓶,清理數量分類(噸)_廢紙,清理數量分類(噸)_竹木,清理數量分類(噸)_保麗龍,清理數量分類(噸)_廢漁具漁網,清理數量分類(噸)_其他,清理後處理方式(噸)_焚化,清理後處理方式(噸)_回收再利用,清理後處理方式(噸)_其他
總　　　　計,261,981,"8,261",3.7,0,119.537,"5,086",470,426.842,7.977,2.43,2.101,6.846,1.442,32.437,12.945,19.796,340.868,308.139,45.195,73.508
新北市,15,74,"1,598",0.027,0,0.497,755,29,93.747,0.305,0.173,0.195,0.52,0.381,1.126,0.091,6.497,84.459,86.824,6.923,0
臺北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
桃園市,32,64,"1,177",0.345,0,11.476,0,0,11.821,0.593,0.117,0.086,0.381,0.138,0.414,0.244,0.967,8.881,0.414,1.315,10.092
宜蘭縣,12,23,539,0.04,0,4.092,494,21,4.568,0.549,0.009,0.01,0.013,0,0.915,0.135,1.32,1.617,1.528,0.9,2.14
新竹縣,15,15,68,0.013,0,1.07,0,0,1.083,0.034,0.022,0.01,0.111,0,0,0.07,0.08,0.756,0.906,0.177,0
基隆市,2,35,332,0.04,0,0,290,62,62.1,0.056,0.028,0.079,0.012,0,0,0,0,61.925,60.392,1.708,0
新竹市,3,3,3,0.825,0,0,3,3,0.825,0.001,0.001,0,0,0,0,0,0.822,0.001,0.001,0.002,0.822
臺中市,2,32,293,0.01,0,0,271,136,25.585,0.002,0.001,0.003,0.004,0,0,0,0,25.575,22.94,2.645,0
苗栗縣,7,3,697,0,0,11.589,697,0,11.589,0.072,0.004,0.005,0.016,0.01,0.775,0.011,0.022,10.674,10.674,0.107,0.808
彰化縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南投縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
雲林縣,1,20,44,0.52,0,0,44,2,0.52,0,0,0,0,0,0,0,0,0.52,0.52,0,0
臺南市,9,98,288,0.26,0,0,270,11,21.211,0.062,0.069,0.057,0.425,0.049,0,0,0.002,20.547,20.417,0.794,0
高雄市,26,120,391,0.28,0,0.128,297,87,88.008,0.124,0.061,0.051,0.096,0,0,0.025,0.02,87.631,79.312,8.684,0.012
嘉義縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
屏東縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
澎湖縣,69,298,"1,418",0.04,0,42.546,"1,418",2,50.496,4.43,1.01,1.11,3.81,0.5,7,2.708,6.008,23.92,18.118,11.46,20.918
嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺東縣,1,2,10,0,0,0.015,10,0,0.015,0.004,0.001,0,0.004,0,0,0.001,0.005,0,0.015,0,0
花蓮縣,4,57,276,0,0,0.064,84,30,5.914,0.01,0.018,0.019,0.015,0,0,0.002,0,5.85,2.036,2.118,1.76
金門縣,59,117,888,1.3,0,18.52,453,72,19.82,1.345,0.826,0.366,1.289,0.304,6.457,2.298,1.423,5.512,4.042,7.562,8.216
連江縣,4,20,239,0,0,29.54,0,15,29.54,0.39,0.09,0.11,0.15,0.06,15.75,7.36,2.63,3,0,0.8,28.74
