縣市別,清理範圍(處),清理次數(次),參與人數(人次),海洋廢棄物來源(噸)_海漂,海洋廢棄物來源(噸)_海底,海洋廢棄物來源(噸)_淨灘,清理方式_雇工   (人次),清理方式_機械    (輛次),清理數量分類(噸)_計,清理數量分類(噸)_寶特瓶,清理數量分類(噸)_鐵罐,清理數量分類(噸)_鋁罐,清理數量分類(噸)_玻璃瓶,清理數量分類(噸)_廢紙,清理數量分類(噸)_竹木,清理數量分類(噸)_保麗龍,清理數量分類(噸)_廢漁具漁網,清理數量分類(噸)_其他,清理後處理方式(噸)_焚化,清理後處理方式(噸)_回收再利用,清理後處理方式(噸)_其他
總　　　　計,263,"1,194","19,738",154.012,2.104,143.724,"5,620",545,686.956,18.621,4.727,4.138,8.766,2.43,67.032,16.843,22.372,542.027,469.773,61.425,155.758
新北市,33,221,"9,967",91.742,2.013,19.35,"1,822",46,137.096,8.408,1.547,0.947,1.676,0.207,1.435,2.679,10.169,110.028,113.726,12.571,10.798
臺北市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
桃園市,1,1,247,0,0,3.7,0,0,3.7,0.08,0.008,0.008,0.36,0.001,0,0,0.006,3.237,3.62,0.08,0
宜蘭縣,12,21,205,0.02,0.053,3.3,18,28,4.373,0.352,0.204,0.154,0.111,0.4,1,0.2,0.334,1.618,2.105,1.271,1
新竹縣,7,7,94,0.01,0.023,1.04,0,0,1.074,0.015,0.009,0.006,0.078,0,0,0.107,0.134,0.725,0.965,0.108,0
基隆市,2,36,353,0.05,0,0.03,300,62,34.54,0.03,0.1,0.05,0.01,0.19,0.1,0.01,0.04,34.01,32.92,1.62,0
新竹市,1,10,10,0.34,0,0,4,1,0.34,0.001,0.01,0.001,0,0,0.005,0,0.3,0.023,0,0.008,0.332
臺中市,12,42,"1,424",0.41,0,5.3,310,156,49.8,0.52,0.06,0.07,0.11,0.01,2.8,0,1.2,45.03,41.91,7.89,0
苗栗縣,4,3,855,0,0,12.83,0,0,12.83,0.01,0.01,0.01,0.03,0.02,0.62,0.01,0.32,11.8,11.8,0.08,0.95
彰化縣,4,4,"1,343",0.082,0,2.41,5,3,2.491,1.044,0.024,0,0.382,0.128,0,0.043,0.133,0.737,0.043,2.315,0.133
南投縣,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
雲林縣,2,25,119,0.82,0,0.163,69,2,0.983,0.03,0.023,0.015,0.05,0.045,0,0,0,0.82,0.968,0.015,0
臺南市,12,128,385,0.333,0.015,0.75,354,27,19.175,0.108,0.155,0.117,0.498,0.06,0.042,0.3,0.227,17.668,17.793,1.382,0
高雄市,29,80,423,0.22,0,0.263,318,92,260.561,0.727,0.453,0.225,0.12,1.014,0,0.062,0.04,257.92,233.678,26.425,0.457
嘉義縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
屏東縣,5,10,798,0,0,3.45,0,0,3.45,0,0,0,0,0,0,0,0,3.45,0,0,3.45
澎湖縣,63,160,"1,255",55.18,0,1.27,"1,192",1,57.37,5.2,1.4,2,4.15,0.15,2.1,4.67,3.6,34.1,6.475,4.395,46.5
嘉義市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
臺東縣,2,18,533,0,0,0.191,533,0,0.191,0,0,0,0,0,0,0,0,0.191,0,0.1,0.091
花蓮縣,7,284,590,0.805,0,0.34,206,6,5.645,0,0,0,0,0,0,0,0,5.645,3.77,1.07,0.805
金門縣,55,130,934,0,0,56.327,479,102,56.327,1.156,0.606,0.455,0.949,0.155,41.14,1.312,0.679,9.875,0,0.775,55.552
連江縣,12,14,203,4,0,33.01,10,19,37.01,0.94,0.118,0.08,0.242,0.05,17.79,7.45,5.19,5.15,0,1.32,35.69
